,id,listing_url,last_scraped,source,name,host_id,host_url,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,reviews_per_month
2992,18027346,https://www.airbnb.com/rooms/18027346,2025-06-20,city scrape,primeflats - Apartment Kattegat Berlin-Wedding,438513826,https://www.airbnb.com/users/show/438513826,Urs,2022-01-02,"Berlin, Germany",within an hour,100%,95%,,,27.0,37.0,"['email', 'phone']",t,t,"Berlin, Germany",Osloer Straße,Mitte,52.56358,13.39003,Entire serviced apartment,Entire home/apt,8,1.0,1 bath,3.0,4.0,"[""Iron"", ""Noise decibel monitors on property"", ""Wifi"", ""Oven"", ""Washer"", ""TV"", ""Smart lock"", ""Cooking basics"", ""Self check-in"", ""Bathtub"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Refrigerator"", ""Bed linens"", ""High chair"", ""Shampoo"", ""Body soap"", ""Hangers"", ""Fire extinguisher"", ""Microwave"", ""Hot water kettle"", ""Essentials"", ""Private entrance"", ""Stove"", ""Hair dryer"", ""Dishwasher"", ""Heating"", ""Coffee maker"", ""Toaster"", ""Dedicated workspace"", ""Kitchen"", ""Dishes and silverware""]",$128.00,1,365,2.9,365.0,5,15,20,287,187,139,17792.0,4.44,4.44,4.45,4.4,1.92
3117,18798641,https://www.airbnb.com/rooms/18798641,2025-06-20,city scrape,primeflats- Apartment Schillerpark1 Berlin-Wedding,438513826,https://www.airbnb.com/users/show/438513826,Urs,2022-01-02,"Berlin, Germany",within an hour,100%,95%,,,27.0,37.0,"['email', 'phone']",t,t,"Berlin, Germany",Parkviertel,Mitte,52.55377,13.35029,Entire serviced apartment,Entire home/apt,4,1.0,1 bath,1.0,1.0,"[""Iron"", ""Noise decibel monitors on property"", ""Wifi"", ""Oven"", ""Washer"", ""TV"", ""Smart lock"", ""Cooking basics"", ""Self check-in"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Refrigerator"", ""Bed linens"", ""High chair"", ""Shampoo"", ""Body soap"", ""Hangers"", ""Microwave"", ""Hot water kettle"", ""Essentials"", ""Stove"", ""Hair dryer"", ""Coffee maker"", ""Heating"", ""Toaster"", ""Dedicated workspace"", ""Kitchen"", ""Dishes and silverware""]",$84.00,1,365,3.0,360.0,13,30,60,329,121,176,14784.0,4.36,4.63,4.31,4.27,1.25
3131,18863113,https://www.airbnb.com/rooms/18863113,2025-06-20,city scrape,primeflats - Apartment Togo Berlin-Wedding,438513826,https://www.airbnb.com/users/show/438513826,Urs,2022-01-02,"Berlin, Germany",within an hour,100%,95%,,,27.0,37.0,"['email', 'phone']",t,t,"Berlin, Germany",Parkviertel,Mitte,52.54992,13.34843,Entire serviced apartment,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Iron"", ""Noise decibel monitors on property"", ""Wifi"", ""Oven"", ""Laundromat nearby"", ""TV"", ""Smart lock"", ""Cooking basics"", ""Self check-in"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Refrigerator"", ""Bed linens"", ""High chair"", ""Body soap"", ""Hangers"", ""Microwave"", ""Hot water kettle"", ""Essentials"", ""Stove"", ""Ka shampoo"", ""Hair dryer"", ""Dishwasher"", ""Heating"", ""Coffee maker"", ""Dining table"", ""Toaster"", ""Free washer \u2013 In unit"", ""Dedicated workspace"", ""Kitchen"", ""Dishes and silverware""]",$109.00,1,365,3.0,365.0,5,22,52,327,233,255,27795.0,4.71,4.72,4.61,4.6,2.37
4662,29703842,https://www.airbnb.com/rooms/29703842,2025-06-21,previous scrape,"Stylish apartment, pretty street, perfect location",491924666,https://www.airbnb.com/users/show/491924666,Enis,2022-12-18,"Berlin, Germany",within an hour,100%,100%,,,16.0,18.0,"['email', 'phone', 'work_email']",t,t,"Berlin, Germany",Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,52.51024,13.46756,Entire rental unit,Entire home/apt,6,,1 bath,2.0,,"[""Iron"", ""Cleaning products"", ""Wifi"", ""Oven"", ""Marshall Bluetooth sound system"", ""Hot water"", ""Smart lock"", ""Freezer"", ""45 inch TV with Amazon Prime Video, Disney+, Netflix"", ""Children\u2019s dinnerware"", ""Cooking basics"", ""Baking sheet"", ""Paid street parking off premises"", ""Bathtub"", ""Self check-in"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Refrigerator"", ""Shared backyard \u2013 Fully fenced"", ""Bed linens"", ""Long term stays allowed"", ""Hangers"", ""Clothing storage: wardrobe and dresser"", ""Hot water kettle"", ""Cleaning available during stay"", ""Drying rack for clothing"", ""Essentials"", ""Private entrance"", ""Books and reading material"", ""Stove"", ""Board games"", ""Coffee"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Piano"", ""Standalone high chair"", ""Dishwasher"", ""Heating"", ""Coffee maker"", ""Dining table"", ""Toaster"", ""Free washer \u2013 In unit"", ""Dedicated workspace"", ""Blender"", ""Kitchen"", ""Wine glasses"", ""Dishes and silverware""]",,3,14,3.0,14.0,0,0,0,0,55,202,,4.8,4.69,4.82,4.71,0.71
4832,31092213,https://www.airbnb.com/rooms/31092213,2025-06-20,city scrape,Room 1,437682104,https://www.airbnb.com/users/show/437682104,K Und S Apartments,2021-12-27,"Berlin, Germany",,,,f,,10.0,10.0,"['email', 'phone']",t,t,"Berlin, Germany",Weißensee,Pankow,52.552719,13.437499,Room in aparthotel,Private room,4,1.0,1 private bath,1.0,2.0,"[""Iron"", ""Wifi"", ""Oven"", ""Hot water"", ""City skyline view"", ""Cooking basics"", ""Lockbox"", ""Electric stove"", ""Free parking on premises"", ""Baking sheet"", ""Self check-in"", ""Shower gel"", ""Carbon monoxide alarm"", ""Free washer \u2013 In building"", ""Smoke alarm"", ""Clothing storage: closet"", ""Refrigerator"", ""Bed linens"", ""Single level home"", ""Shampoo"", ""Body soap"", ""Long term stays allowed"", ""Hangers"", ""Fire extinguisher"", ""Crib - available upon request"", ""Microwave"", ""Portable fans"", ""Hot water kettle"", ""Drying rack for clothing"", ""Essentials"", ""Private entrance"", ""Pets allowed"", ""Coffee"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Dishwasher"", ""Heating"", ""Coffee maker"", ""Dining table"", ""Room-darkening shades"", ""Standalone high chair - available upon request"", ""Toaster"", ""Dedicated workspace"", ""Kitchen"", ""Wine glasses"", ""Dishes and silverware""]",$45.00,1,1125,1.4,620.7,4,13,22,174,276,255,11475.0,4.64,4.78,4.54,4.73,3.51
4846,31170463,https://www.airbnb.com/rooms/31170463,2025-06-20,city scrape,K 1 · Cozy studio in the heart of Charlottenburg,437682104,https://www.airbnb.com/users/show/437682104,K Und S Apartments,2021-12-27,"Berlin, Germany",,,,f,,10.0,10.0,"['email', 'phone']",t,t,"Berlin, Germany",Otto-Suhr-Allee,Charlottenburg-Wilm.,52.51785,13.3015,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Iron"", ""Ceiling fan"", ""Cleaning products"", ""Wifi"", ""Free street parking"", ""Hot water"", ""Cooking basics"", ""Lockbox"", ""Electric stove"", ""Self check-in"", ""Bathtub"", ""Shower gel"", ""Refrigerator"", ""Bed linens"", ""Shampoo"", ""Body soap"", ""Long term stays allowed"", ""Hangers"", ""Clothing storage"", ""Microwave"", ""Hot water kettle"", ""Essentials"", ""Private entrance"", ""Coffee"", ""Extra pillows and blankets"", ""Hair dryer"", ""Coffee maker"", ""Heating"", ""Dining table"", ""Room-darkening shades"", ""Toaster"", ""Free washer \u2013 In unit"", ""Kitchen"", ""Wine glasses"", ""Dishes and silverware""]",$95.00,1,14,1.6,14.0,5,16,22,187,485,255,24225.0,4.49,4.62,4.49,4.48,6.17
4847,31172381,https://www.airbnb.com/rooms/31172381,2025-06-20,city scrape,K 2 · Cozy studio near the Palace Charlottenburg,437682104,https://www.airbnb.com/users/show/437682104,K Und S Apartments,2021-12-27,"Berlin, Germany",,,,f,,10.0,10.0,"['email', 'phone']",t,t,"Berlin, Germany",Otto-Suhr-Allee,Charlottenburg-Wilm.,52.51795,13.30124,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Iron"", ""Ceiling fan"", ""Wifi"", ""Free street parking"", ""Hot water"", ""Cooking basics"", ""Lockbox"", ""Self check-in"", ""Smoke alarm"", ""Refrigerator"", ""Bed linens"", ""Shampoo"", ""Body soap"", ""Long term stays allowed"", ""Hangers"", ""Microwave"", ""Hot water kettle"", ""Essentials"", ""Private entrance"", ""Stove"", ""Extra pillows and blankets"", ""Hair dryer"", ""Coffee maker"", ""Heating"", ""Toaster"", ""Dedicated workspace"", ""Kitchen"", ""Dishes and silverware""]",$98.00,1,14,1.6,14.0,5,17,26,192,426,255,24990.0,4.62,4.71,4.56,4.58,5.43
4932,31975697,https://www.airbnb.com/rooms/31975697,2025-06-20,city scrape,Dachgeschoss Loft am Weißen See citynah,469762211,https://www.airbnb.com/users/show/469762211,Alexander,2022-07-16,"Berlin, Germany",,,,f,,1.0,1.0,"['email', 'phone']",t,t,"Berlin, Germany",Weißensee,Pankow,52.55606,13.4674,Entire rental unit,Entire home/apt,3,1.0,1 bath,2.0,3.0,"[""Private patio or balcony"", ""Wifi"", ""Free street parking"", ""Oven"", ""Children\u2019s books and toys"", ""Washer"", ""Hot water"", ""Cooking basics"", ""Free parking on premises"", ""Bathtub"", ""Smoke alarm"", ""Refrigerator"", ""Bed linens"", ""HDTV"", ""Private backyard \u2013 Not fully fenced"", ""Long term stays allowed"", ""Bidet"", ""Hangers"", ""Lake access"", ""Exterior security cameras on property"", ""Essentials"", ""Private entrance"", ""Books and reading material"", ""Stove"", ""Extra pillows and blankets"", ""Host greets you"", ""Hair dryer"", ""Dishwasher"", ""Heating"", ""Coffee maker"", ""Children's playroom"", ""Dedicated workspace"", ""Kitchen"", ""Dishes and silverware""]",$93.00,3,30,3.1,30.0,1,17,46,314,42,76,7068.0,4.71,4.69,4.52,4.55,0.54
5147,33790157,https://www.airbnb.com/rooms/33790157,2025-06-20,city scrape,"Moderne Atelierwohnung, Westend, hell, mit Balkon",561053036,https://www.airbnb.com/users/show/561053036,Christian,2024-02-08,"Venice, Italy",within an hour,100%,100%,t,,5.0,5.0,"['email', 'phone']",t,t,"Berlin, Germany",Westend,Charlottenburg-Wilm.,52.51851,13.25516,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,1.0,"[""Free street parking"", ""Oven"", ""Washer"", ""Hot water"", ""Dryer"", ""TV"", ""Dedicated workspace"", ""Cooking basics"", ""Lockbox"", ""Free parking on premises"", ""Self check-in"", ""Refrigerator"", ""Bed linens"", ""Single level home"", ""Long term stays allowed"", ""Hangers"", ""Lake access"", ""Essentials"", ""Private entrance"", ""Stove"", ""Extra pillows and blankets"", ""Hair dryer"", ""Heating"", ""Dishwasher"", ""Kitchen"", ""Dishes and silverware""]",$75.00,350,730,349.0,730.0,0,0,19,294,41,0,0.0,4.71,4.59,4.85,4.8,0.55
5810,39484375,https://www.airbnb.com/rooms/39484375,2025-06-21,city scrape,Apartment close to K'damm and Gedächtniskirche,541920443,https://www.airbnb.com/users/show/541920443,Angelika,2023-10-15,,,,,f,,2.0,2.0,['email'],f,t,,Düsseldorfer Straße,Charlottenburg-Wilm.,52.49628,13.33594,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,2.0,"[""Iron"", ""Patio or balcony"", ""Free parking on premises"", ""Hangers"", ""Free street parking"", ""Hair dryer"", ""Heating"", ""Hot water"", ""TV"", ""Smoke alarm"", ""Private entrance"", ""Essentials"", ""Kitchen"", ""Cooking basics"", ""Dishes and silverware""]",$81.00,5,60,5.0,1125.0,1,16,28,281,96,189,15309.0,4.82,4.77,4.92,4.71,1.4
