,id,listing_url,last_scraped,source,name,host_id,host_url,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,reviews_per_month
1,9991,https://www.airbnb.com/rooms/9991,2025-06-21,city scrape,Geourgeous flat - outstanding views,33852,https://www.airbnb.com/users/show/33852,Philipp,2009-08-25,"Berlin, Germany",within a day,50%,0%,f,Prenzlauer Berg,1.0,1.0,"['email', 'phone']",t,t,"Berlin, Germany",Prenzlauer Berg Südwest,Pankow,52.53269,13.41805,Entire rental unit,Entire home/apt,7,2.5,2.5 baths,4.0,4.0,"[""Iron"", ""Wifi"", ""Babysitter recommendations"", ""Oven"", ""Children\u2019s books and toys"", ""Washer"", ""Hot water"", ""Dryer"", ""Children\u2019s dinnerware"", ""Cooking basics"", ""Elevator"", ""Bathtub"", ""Pack \u2019n play/Travel crib"", ""Smoke alarm"", ""Refrigerator"", ""Bed linens"", ""High chair"", ""TV with standard cable"", ""Crib"", ""Hangers"", ""Microwave"", ""Essentials"", ""Stove"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Coffee maker"", ""Heating"", ""Room-darkening shades"", ""Paid parking off premises"", ""Dishwasher"", ""Kitchen"", ""Dishes and silverware""]",$135.00,6,14,6.0,14.0,0,0,5,193,7,0,0.0,5.0,5.0,4.86,4.86,0.06
69,212470,https://www.airbnb.com/rooms/212470,2025-06-21,previous scrape,furnished room in beautiful old app,1095682,https://www.airbnb.com/users/show/1095682,Philipp,2011-09-01,"Berlin, Germany",,,,f,Kreuzberg,1.0,2.0,"['email', 'phone']",t,t,,Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,52.49757,13.38215,Private room in rental unit,Private room,2,,1 shared bath,,,"[""Wifi"", ""Free street parking"", ""Host greets you"", ""Fire extinguisher"", ""Heating"", ""Washer"", ""Hot water"", ""Essentials"", ""Kitchen""]",,92,760,92.0,760.0,0,0,0,0,4,0,,4.75,4.25,4.75,4.75,0.05
79,231220,https://www.airbnb.com/rooms/231220,2025-06-20,city scrape,"1 Room Apartment, Charlottenburg",1209193,https://www.airbnb.com/users/show/1209193,Michael,2011-09-26,"Berlin, Germany",,,60%,f,Westend,1.0,1.0,"['email', 'phone']",t,t,,Westend,Charlottenburg-Wilm.,52.51167,13.2852,Entire rental unit,Entire home/apt,1,1.0,1 bath,1.0,1.0,"[""Iron"", ""Private patio or balcony"", ""Cleaning products"", ""Free street parking"", ""Other gas stove"", ""Laundromat nearby"", ""Hot water"", ""TV"", ""Cooking basics"", ""Elevator"", ""Bathtub"", ""Clothing storage: closet and dresser"", ""Smoke alarm"", ""Refrigerator"", ""Bed linens"", ""Window guards"", ""Long term stays allowed"", ""Hangers"", ""Cleaning available during stay"", ""Essentials"", ""Coffee maker"", ""Heating"", ""Room-darkening shades"", ""Kitchen"", ""Dishes and silverware""]",$28.00,100,365,94.0,365.0,0,16,27,70,26,200,5600.0,4.7,4.52,4.76,4.64,0.17
192,573259,https://www.airbnb.com/rooms/573259,2025-06-21,previous scrape,Beautiful 3 room apt Berlin Mitte,2820919,https://www.airbnb.com/users/show/2820919,Michael,2012-07-03,"Berlin, Germany",,,38%,f,Moabit,2.0,2.0,"['email', 'phone']",t,t,"Berlin, Germany",Moabit West,Mitte,52.52358,13.34047,Private room in condo,Private room,2,,1 shared bath,,,"[""Private patio or balcony"", ""Wifi"", ""Free street parking"", ""Children\u2019s books and toys"", ""Hot water"", ""Washer"", ""City skyline view"", ""Bathtub"", ""First aid kit"", ""Smoke alarm"", ""Refrigerator"", ""River view"", ""Shampoo"", ""Hangers"", ""Backyard"", ""Essentials"", ""Stove"", ""Coffee maker"", ""Heating"", ""Dishwasher"", ""Kitchen"", ""Dishes and silverware""]",,3,365,3.0,365.0,0,0,0,0,22,50,,4.73,4.68,4.86,4.73,0.19
197,584757,https://www.airbnb.com/rooms/584757,2025-06-21,previous scrape,Nice room trendy Prenzlauberg,2881484,https://www.airbnb.com/users/show/2881484,Daniel,2012-07-09,"Berlin, Germany",,,,f,Prenzlauer Berg,1.0,2.0,"['email', 'phone']",t,f,,Prenzlauer Berg Nordwest,Pankow,52.55438,13.40816,Private room in rental unit,Private room,1,,1 private bath,,,"[""Pets allowed"", ""Smoking allowed"", ""Wifi"", ""Heating"", ""Washer"", ""Hot water"", ""Kitchen""]",,1000,1125,1000.0,1125.0,30,60,90,365,25,0,,4.78,4.2,4.7,4.65,0.16
246,749508,https://www.airbnb.com/rooms/749508,2025-06-20,city scrape,Central & Elegant Kreuzberg apart.,3939068,https://www.airbnb.com/users/show/3939068,Michael,2012-10-21,"Berlin, Germany",within an hour,100%,20%,f,Kreuzberg,2.0,3.0,"['email', 'phone']",t,t,"Berlin, Germany",Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,52.49299,13.39633,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,2.0,"[""Iron"", ""Cleaning products"", ""Wifi"", ""Free street parking"", ""Oven"", ""Washer"", ""Hot water"", ""TV"", ""Cooking basics"", ""Bathtub"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Refrigerator"", ""Bed linens"", ""Long term stays allowed"", ""Hangers"", ""Microwave"", ""Backyard"", ""Essentials"", ""Private entrance"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Host greets you"", ""Hair dryer"", ""Coffee maker"", ""Heating"", ""Clothing storage: wardrobe"", ""Dedicated workspace"", ""Kitchen"", ""Dishes and silverware""]",$65.00,92,210,92.0,210.0,0,0,0,167,141,184,11960.0,4.76,4.83,4.76,4.75,0.92
270,842173,https://www.airbnb.com/rooms/842173,2025-06-21,city scrape,Furnished Studio in top location!!!,4397154,https://www.airbnb.com/users/show/4397154,Daniel,2012-12-13,"Berlin, Germany",within a few hours,96%,23%,t,Friedrichshain,1.0,8.0,"['email', 'phone']",t,t,"Berlin, Germany",Frankfurter Allee Nord,Friedrichshain-Kreuzberg,52.52308,13.45224,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Iron"", ""Wifi"", ""Oven"", ""Washer"", ""Hot water"", ""Freezer"", ""Cooking basics"", ""First aid kit"", ""Refrigerator"", ""Bed linens"", ""TV with standard cable"", ""Long term stays allowed"", ""Smoking allowed"", ""Hangers"", ""Housekeeping - available at extra cost"", ""Backyard"", ""Hot water kettle"", ""Essentials"", ""Pets allowed"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Other electric stove"", ""Heating"", ""Coffee maker"", ""Dining table"", ""Clothing storage: wardrobe"", ""Toaster"", ""Dedicated workspace"", ""Kitchen"", ""Wine glasses"", ""Dishes and silverware""]",$65.00,14,700,14.0,700.0,0,30,60,335,40,140,9100.0,4.5,4.05,4.75,4.38,0.36
272,851630,https://www.airbnb.com/rooms/851630,2025-06-21,city scrape,*** Modern Design Apartment ***,4446082,https://www.airbnb.com/users/show/4446082,Michael,2012-12-19,"Berlin, Germany",within a few hours,100%,0%,f,Friedrichshain,3.0,6.0,"['email', 'phone', 'work_email']",t,t,"Berlin, Germany",Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,52.51455,13.45987,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Iron"", ""Wifi"", ""Free street parking"", ""Oven"", ""Washer"", ""Hot water"", ""Cooking basics"", ""Free parking on premises"", ""Elevator"", ""Bathtub"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Refrigerator"", ""Bed linens"", ""Single level home"", ""TV with standard cable"", ""Crib"", ""Shampoo"", ""Long term stays allowed"", ""Hangers"", ""Microwave"", ""Essentials"", ""Stove"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Host greets you"", ""Hair dryer"", ""Coffee maker"", ""Heating"", ""Room-darkening shades"", ""Dishwasher"", ""Kitchen"", ""Dishes and silverware""]",$96.00,180,730,180.0,730.0,0,0,0,264,31,0,0.0,4.77,4.83,4.83,4.67,0.21
275,860671,https://www.airbnb.com/rooms/860671,2025-06-21,city scrape,*** Exclusive Design Apartment ***,4446082,https://www.airbnb.com/users/show/4446082,Michael,2012-12-19,"Berlin, Germany",within a few hours,100%,0%,f,Friedrichshain,3.0,6.0,"['email', 'phone', 'work_email']",t,t,"Berlin, Germany",Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,52.51474,13.46143,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Iron"", ""Wifi"", ""Free street parking"", ""Oven"", ""Washer"", ""Hot water"", ""Cooking basics"", ""Free parking on premises"", ""Elevator"", ""Bathtub"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Refrigerator"", ""Bed linens"", ""Single level home"", ""TV with standard cable"", ""Crib"", ""Shampoo"", ""Long term stays allowed"", ""Hangers"", ""Microwave"", ""Essentials"", ""Stove"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Host greets you"", ""Hair dryer"", ""Coffee maker"", ""Heating"", ""Room-darkening shades"", ""Dishwasher"", ""Kitchen"", ""Dishes and silverware""]",$92.00,180,1125,180.0,1125.0,0,30,60,335,31,0,0.0,4.93,4.87,4.83,4.7,0.21
281,871854,https://www.airbnb.com/rooms/871854,2025-06-20,city scrape,Lilac Female only room at the Federal Chancellery,2837298,https://www.airbnb.com/users/show/2837298,Daniel,2012-07-05,"Berlin, Germany",within an hour,100%,85%,t,Moabit,4.0,6.0,"['email', 'phone', 'work_email']",t,t,"Berlin, Germany",Moabit Ost,Mitte,52.52011,13.35889,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,"[""Iron"", ""Washer \u2013\u00a0In building"", ""Wifi"", ""Oven"", ""Hot water"", ""Lock on bedroom door"", ""Freezer"", ""32 inch HDTV"", ""Central heating"", ""Cooking basics"", ""Baking sheet"", ""Paid street parking off premises"", ""Bathtub"", ""First aid kit"", ""Smoke alarm"", ""Dryer \u2013 In building"", ""Bed linens"", ""Long term stays allowed"", ""Hangers"", ""Fire extinguisher"", ""Microwave"", ""Essentials"", ""Stove"", ""Extra pillows and blankets"", ""Hair dryer"", ""Samsung refrigerator"", ""Room-darkening shades"", ""Toaster"", ""Dishwasher"", ""Kitchen"", ""Coffee maker: Nespresso"", ""Dishes and silverware""]",$28.00,92,600,92.0,600.0,6,6,6,118,13,0,0.0,4.85,4.85,4.77,4.77,0.09
