,id,listing_url,last_scraped,source,name,host_id,host_url,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,reviews_per_month
2,14325,https://www.airbnb.com/rooms/14325,2025-06-21,city scrape,Studio Apartment in Prenzlauer Berg,55531,https://www.airbnb.com/users/show/55531,Chris + Oliver,2009-11-18,"Berlin, Germany",within a day,100%,25%,t,Prenzlauer Berg,4.0,5.0,"['email', 'phone', 'work_email']",t,t,,Prenzlauer Berg Nordwest,Pankow,52.54813,13.40366,Entire rental unit,Entire home/apt,1,1.0,1 bath,0.0,1.0,"[""Hangers"", ""Wifi"", ""Coffee maker"", ""Host greets you"", ""Heating"", ""TV"", ""Washer"", ""Hot water"", ""Smoke alarm"", ""Refrigerator"", ""Ethernet connection"", ""Kitchen"", ""Private entrance"", ""Dishes and silverware""]",$75.00,150,1125,150.0,1125.0,0,0,0,262,26,0,0.0,4.68,4.85,4.6,4.45,0.14
6,22438,https://www.airbnb.com/rooms/22438,2025-06-21,city scrape,WOHNUNG IN BERLIN ★ MITTE,86159,https://www.airbnb.com/users/show/86159,Javier,2010-02-27,"Berlin, Germany",within an hour,100%,70%,t,Mitte,2.0,5.0,"['email', 'phone']",t,t,"Berlin, Germany",Brunnenstr. Süd,Mitte,52.53408,13.38871,Entire rental unit,Entire home/apt,2,1.0,1 bath,2.0,4.0,"[""Iron"", ""Private patio or balcony"", ""Cleaning products"", ""Wifi"", ""Oven"", ""Laundromat nearby"", ""Private backyard"", ""Washer"", ""Hot water"", ""Cooking basics"", ""Elevator"", ""Baking sheet"", ""Bathtub"", ""First aid kit"", ""Refrigerator"", ""Bed linens"", ""Hangers"", ""Microwave"", ""Hot water kettle"", ""Drying rack for clothing"", ""Essentials"", ""Hair dryer"", ""Dishwasher"", ""Heating"", ""Induction stove"", ""Coffee maker"", ""Clothing storage: wardrobe"", ""Toaster"", ""Dedicated workspace"", ""Kitchen"", ""Wine glasses"", ""Dishes and silverware""]",$53.00,93,365,93.0,365.0,0,0,0,52,182,0,0.0,4.7,4.7,4.63,4.68,1.05
7,22677,https://www.airbnb.com/rooms/22677,2025-06-21,city scrape,"""Prenzel Garten"" mit Terrasse",87357,https://www.airbnb.com/users/show/87357,Ramfis,2010-03-02,"Berlin, Germany",within an hour,100%,97%,t,Mitte,1.0,1.0,"['email', 'phone']",t,t,"Berlin, Germany",Brunnenstr. Süd,Mitte,52.53355,13.40476,Entire rental unit,Entire home/apt,6,1.0,1 bath,2.0,5.0,"[""Iron"", ""Cleaning products"", ""Wifi"", ""Outdoor playground"", ""Babysitter recommendations"", ""Oven"", ""Children\u2019s books and toys"", ""Hot water"", ""TV"", ""Freezer"", ""Laundromat nearby"", ""Children\u2019s dinnerware"", ""Cooking basics"", ""Outdoor furniture"", ""Bathtub"", ""Smoke alarm"", ""Clothing storage: closet"", ""Refrigerator"", ""High chair"", ""Single level home"", ""Crib"", ""Hammock"", ""Mosquito net"", ""Hangers"", ""Safe"", ""Microwave"", ""Portable fans"", ""Hot water kettle"", ""Backyard"", ""Essentials"", ""Stove"", ""Pets allowed"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Dishwasher"", ""Heating"", ""Coffee maker"", ""Dining table"", ""Toaster"", ""Free washer \u2013 In unit"", ""Dedicated workspace"", ""Kitchen"", ""Wine glasses"", ""Dishes and silverware""]",$164.00,4,30,4.0,30.0,5,10,28,177,581,255,41820.0,4.81,4.77,4.94,4.69,3.25
10,28156,https://www.airbnb.com/rooms/28156,2025-06-21,city scrape,Beautiful apartment in Prenzlauer Berg,55531,https://www.airbnb.com/users/show/55531,Chris + Oliver,2009-11-18,"Berlin, Germany",within a day,100%,25%,t,Prenzlauer Berg,4.0,5.0,"['email', 'phone', 'work_email']",t,t,,Prenzlauer Berg Nordwest,Pankow,52.54804,13.40349,Entire rental unit,Entire home/apt,1,1.0,1 bath,0.0,1.0,"[""Hangers"", ""Wifi"", ""Coffee maker"", ""Host greets you"", ""Heating"", ""TV"", ""Washer"", ""Hot water"", ""Smoke alarm"", ""Refrigerator"", ""Ethernet connection"", ""Kitchen"", ""Private entrance"", ""Dishes and silverware""]",$70.00,150,1125,150.0,1125.0,0,18,48,323,34,0,0.0,4.66,4.84,4.69,4.26,0.19
11,30295,https://www.airbnb.com/rooms/30295,2025-06-20,city scrape,PEACEFUL FLAT WITH VINTAGE TOUCH IN PRENZLAUERBERG,485838,https://www.airbnb.com/users/show/485838,Michele,2011-04-05,"Berlin, Germany",within an hour,100%,99%,t,Prenzlauer Berg,4.0,5.0,"['email', 'phone']",t,t,"Berlin, Germany",Helmholtzplatz,Pankow,52.54596,13.42291,Entire rental unit,Entire home/apt,8,1.0,1 bath,2.0,4.0,"[""Iron"", ""Wifi"", ""Oven"", ""Washer"", ""Hot water"", ""Dryer"", ""Smart lock"", ""Cooking basics"", ""Free parking on premises"", ""Elevator"", ""Self check-in"", ""Pack \u2019n play/Travel crib"", ""Smoke alarm"", ""Refrigerator"", ""High chair"", ""TV with standard cable"", ""Crib"", ""Shampoo"", ""Hangers"", ""Microwave"", ""Backyard"", ""Essentials"", ""Private entrance"", ""Hair dryer"", ""Dishwasher"", ""Heating"", ""Coffee maker"", ""Room-darkening shades"", ""Dedicated workspace"", ""Kitchen"", ""Dishes and silverware""]",$172.00,4,365,3.9,1125.0,1,7,16,242,494,255,43860.0,4.8,4.76,4.88,4.74,2.75
12,34854,https://www.airbnb.com/rooms/34854,2025-06-20,city scrape,"Ku'damm-Nähe,sonnig,ruhig,Balkon",145583,https://www.airbnb.com/users/show/145583,Christian,2010-06-15,"Berlin, Germany",within an hour,100%,100%,t,Wilmersdorf,3.0,6.0,"['email', 'phone']",t,t,"Berlin, Germany",Düsseldorfer Straße,Charlottenburg-Wilm.,52.49546,13.30858,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,1.0,"[""Ceiling fan"", ""Private patio or balcony"", ""Wifi"", ""Free street parking"", ""Garden view"", ""Oven"", ""Hot water"", ""Cooking basics"", ""Electric stove"", ""Outdoor furniture"", ""Baking sheet"", ""Bathtub"", ""Private backyard \u2013 Fully fenced"", ""Free washer \u2013 In building"", ""Smoke alarm"", ""Refrigerator"", ""Bed linens"", ""TV with standard cable"", ""Hangers"", ""Hot water kettle"", ""Drying rack for clothing"", ""Extra pillows and blankets"", ""Heating"", ""Dining table"", ""Room-darkening shades"", ""Coffee maker: pour-over coffee"", ""Dedicated workspace"", ""Outdoor dining area"", ""Kitchen"", ""Wine glasses"", ""Dishes and silverware""]",$82.00,92,1125,92.0,1125.0,0,1,1,21,3,255,20910.0,5.0,4.67,5.0,4.67,0.23
18,42809,https://www.airbnb.com/rooms/42809,2025-06-21,city scrape,The Berlin Artist Apartment.,186851,https://www.airbnb.com/users/show/186851,Tina,2010-07-31,"Port Douglas, Australia",within an hour,100%,99%,t,Friedrichshain,7.0,7.0,"['email', 'phone']",t,t,"Berlin, Germany",Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,52.51099,13.45642,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,2.0,"[""Iron"", ""Wifi"", ""Oven"", ""Children\u2019s books and toys"", ""Washer"", ""Hot water"", ""Dryer"", ""Cooking basics"", ""Pack \u2019n play/Travel crib"", ""Refrigerator"", ""Bed linens"", ""High chair"", ""TV with standard cable"", ""Ethernet connection"", ""Crib"", ""Long term stays allowed"", ""Hangers"", ""Essentials"", ""Stove"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Host greets you"", ""Hair dryer"", ""Dishwasher"", ""Heating"", ""Coffee maker"", ""Paid parking off premises"", ""Dedicated workspace"", ""Kitchen"", ""Dishes and silverware""]",$200.00,90,365,90.0,365.0,0,0,0,152,201,180,36000.0,4.91,4.85,4.93,4.71,1.15
20,57049,https://www.airbnb.com/rooms/57049,2025-06-21,city scrape,130 sqm with a view on Mauer Park,54283,https://www.airbnb.com/users/show/54283,Marine,2009-11-14,"Berlin, Germany",within an hour,100%,69%,t,Prenzlauer Berg,1.0,3.0,"['email', 'phone']",t,t,"Berlin, Germany",Prenzlauer Berg Nordwest,Pankow,52.54758,13.40632,Entire rental unit,Entire home/apt,4,2.0,2 baths,2.0,3.0,"[""Iron"", ""Private patio or balcony"", ""Cleaning products"", ""Wifi"", ""Oven"", ""Hot water"", ""Washer"", ""Dryer"", ""TV"", ""Freezer"", ""Cooking basics"", ""Elevator"", ""Baking sheet"", ""Bathtub"", ""Shower gel"", ""Clothing storage: closet and dresser"", ""Smoke alarm"", ""Refrigerator"", ""Bed linens"", ""Shampoo"", ""Body soap"", ""Bidet"", ""Hangers"", ""Microwave"", ""Hot water kettle"", ""Essentials"", ""Stove"", ""Host greets you"", ""Hair dryer"", ""Dishwasher"", ""Heating"", ""Coffee maker"", ""Toaster"", ""Paid parking off premises"", ""Dedicated workspace"", ""Kitchen"", ""Wine glasses"", ""Dishes and silverware""]",$290.00,3,10,3.0,10.0,0,21,39,154,142,164,47560.0,4.92,4.89,4.83,4.76,0.8
21,58780,https://www.airbnb.com/rooms/58780,2025-06-20,city scrape,"Charming, light 2 rooms in 4 room apartment",281614,https://www.airbnb.com/users/show/281614,Katja,2010-11-08,"Berlin, Germany",within a few hours,100%,74%,t,Prenzlauer Berg,6.0,6.0,"['email', 'phone']",t,t,,Prenzlauer Berg Süd,Pankow,52.53572,13.42739,Entire rental unit,Entire home/apt,4,1.5,1.5 baths,3.0,3.0,"[""Patio or balcony"", ""Hangers"", ""Wifi"", ""Hair dryer"", ""Dishwasher"", ""Heating"", ""Oven"", ""Coffee maker"", ""Washer"", ""Hot water"", ""Refrigerator"", ""Bed linens"", ""TV with standard cable"", ""Essentials"", ""Kitchen"", ""Cooking basics"", ""Stove"", ""Dishes and silverware""]",$220.00,3,150,3.0,150.0,6,18,40,310,77,164,36080.0,4.83,4.79,4.88,4.74,0.46
24,64245,https://www.airbnb.com/rooms/64245,2025-06-21,city scrape,Room w/ balcony and private bathroom in nice area,312373,https://www.airbnb.com/users/show/312373,Christian,2010-12-07,"Berlin, Germany",within an hour,100%,76%,t,Prenzlauer Berg,1.0,2.0,"['email', 'phone', 'work_email']",t,t,"Berlin, Germany",Prenzlauer Berg Nordwest,Pankow,52.54994,13.406019,Private room in rental unit,Private room,2,1.5,1.5 baths,1.0,1.0,"[""Iron"", ""Private patio or balcony"", ""Cleaning products"", ""Oven"", ""Laundromat nearby"", ""Hot water"", ""Smart lock"", ""Freezer"", ""City skyline view"", ""Central heating"", ""Cooking basics"", ""Electric stove"", ""Outdoor furniture"", ""Free dryer \u2013 In building"", ""Yamaha sound system with Bluetooth and aux"", ""Baking sheet"", ""Self check-in"", ""Bread maker"", ""Shower gel"", ""Free washer \u2013 In building"", ""Refrigerator"", ""Bed linens"", ""Ethernet connection"", ""Body soap"", ""Shampoo"", ""Coffee maker: Nespresso, pour-over coffee"", ""Long term stays allowed"", ""Bidet"", ""Hangers"", ""Microwave"", ""Portable fans"", ""Hot water kettle"", ""Drying rack for clothing"", ""Essentials"", ""Conditioner"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Dishwasher"", ""55 inch HDTV with Amazon Prime Video, Apple TV, Netflix"", ""Dining table"", ""Room-darkening shades"", ""Toaster"", ""Fast wifi \u2013 213 Mbps"", ""Paid parking off premises"", ""Dedicated workspace"", ""Outdoor dining area"", ""Kitchen"", ""Wine glasses"", ""Dishes and silverware""]",$55.00,2,60,2.0,60.0,3,4,4,4,126,176,9680.0,4.95,4.93,4.83,4.78,0.74
