,id,listing_url,last_scraped,source,name,host_id,host_url,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,reviews_per_month
1,9991,https://www.airbnb.com/rooms/9991,2025-06-21,city scrape,Geourgeous flat - outstanding views,33852,https://www.airbnb.com/users/show/33852,Philipp,2009-08-25,"Berlin, Germany",within a day,50%,0%,f,Prenzlauer Berg,1.0,1.0,"['email', 'phone']",t,t,"Berlin, Germany",Prenzlauer Berg Südwest,Pankow,52.53269,13.41805,Entire rental unit,Entire home/apt,7,2.5,2.5 baths,4.0,4.0,"[""Iron"", ""Wifi"", ""Babysitter recommendations"", ""Oven"", ""Children\u2019s books and toys"", ""Washer"", ""Hot water"", ""Dryer"", ""Children\u2019s dinnerware"", ""Cooking basics"", ""Elevator"", ""Bathtub"", ""Pack \u2019n play/Travel crib"", ""Smoke alarm"", ""Refrigerator"", ""Bed linens"", ""High chair"", ""TV with standard cable"", ""Crib"", ""Hangers"", ""Microwave"", ""Essentials"", ""Stove"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Coffee maker"", ""Heating"", ""Room-darkening shades"", ""Paid parking off premises"", ""Dishwasher"", ""Kitchen"", ""Dishes and silverware""]",$135.00,6,14,6.0,14.0,0,0,5,193,7,0,0.0,5.0,5.0,4.86,4.86,0.06
2,14325,https://www.airbnb.com/rooms/14325,2025-06-21,city scrape,Studio Apartment in Prenzlauer Berg,55531,https://www.airbnb.com/users/show/55531,Chris + Oliver,2009-11-18,"Berlin, Germany",within a day,100%,25%,t,Prenzlauer Berg,4.0,5.0,"['email', 'phone', 'work_email']",t,t,,Prenzlauer Berg Nordwest,Pankow,52.54813,13.40366,Entire rental unit,Entire home/apt,1,1.0,1 bath,0.0,1.0,"[""Hangers"", ""Wifi"", ""Coffee maker"", ""Host greets you"", ""Heating"", ""TV"", ""Washer"", ""Hot water"", ""Smoke alarm"", ""Refrigerator"", ""Ethernet connection"", ""Kitchen"", ""Private entrance"", ""Dishes and silverware""]",$75.00,150,1125,150.0,1125.0,0,0,0,262,26,0,0.0,4.68,4.85,4.6,4.45,0.14
10,28156,https://www.airbnb.com/rooms/28156,2025-06-21,city scrape,Beautiful apartment in Prenzlauer Berg,55531,https://www.airbnb.com/users/show/55531,Chris + Oliver,2009-11-18,"Berlin, Germany",within a day,100%,25%,t,Prenzlauer Berg,4.0,5.0,"['email', 'phone', 'work_email']",t,t,,Prenzlauer Berg Nordwest,Pankow,52.54804,13.40349,Entire rental unit,Entire home/apt,1,1.0,1 bath,0.0,1.0,"[""Hangers"", ""Wifi"", ""Coffee maker"", ""Host greets you"", ""Heating"", ""TV"", ""Washer"", ""Hot water"", ""Smoke alarm"", ""Refrigerator"", ""Ethernet connection"", ""Kitchen"", ""Private entrance"", ""Dishes and silverware""]",$70.00,150,1125,150.0,1125.0,0,18,48,323,34,0,0.0,4.66,4.84,4.69,4.26,0.19
13,37004,https://www.airbnb.com/rooms/37004,2025-06-20,city scrape,WONDERFUL ROOM for a bubble in Berlin Central,159734,https://www.airbnb.com/users/show/159734,Bernd,2010-07-06,"Berlin, Germany",within a day,100%,57%,f,Schöneberg,1.0,1.0,"['email', 'phone']",t,t,"Berlin, Germany",Schöneberg-Nord,Tempelhof - Schöneberg,52.49376,13.36408,Private room in rental unit,Private room,4,1.0,1 shared bath,1.0,1.0,"[""Iron"", ""Wifi"", ""Free street parking"", ""Oven"", ""Laundromat nearby"", ""Washer"", ""Hot water"", ""Cooking basics"", ""Dedicated workspace"", ""Baking sheet"", ""Refrigerator"", ""Bed linens"", ""Single level home"", ""TV with standard cable"", ""Long term stays allowed"", ""Hangers"", ""Microwave"", ""Hot water kettle"", ""Cleaning available during stay"", ""Essentials"", ""Private entrance"", ""Stove"", ""Shared patio or balcony"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Host greets you"", ""Hair dryer"", ""Coffee maker"", ""Heating"", ""Dining table"", ""Room-darkening shades"", ""Dishwasher"", ""Kitchen"", ""Wine glasses"", ""Dishes and silverware""]",$52.00,20,60,20.0,60.0,9,15,45,58,37,40,2080.0,4.74,4.7,4.79,4.89,0.2
27,69780,https://www.airbnb.com/rooms/69780,2025-06-21,city scrape,Apartment in Prenzlauer Berg,55531,https://www.airbnb.com/users/show/55531,Chris + Oliver,2009-11-18,"Berlin, Germany",within a day,100%,25%,t,Prenzlauer Berg,4.0,5.0,"['email', 'phone', 'work_email']",t,t,"Berlin, Germany",Prenzlauer Berg Nordwest,Pankow,52.5488,13.40425,Entire condo,Entire home/apt,1,1.0,1 bath,1.0,1.0,"[""Iron"", ""Cleaning products"", ""Wifi"", ""Oven"", ""Washer"", ""Hot water"", ""TV"", ""Freezer"", ""Cooking basics"", ""Paid street parking off premises"", ""Smoke alarm"", ""Refrigerator"", ""Ethernet connection"", ""Long term stays allowed"", ""Hangers"", ""Microwave"", ""Hot water kettle"", ""Drying rack for clothing"", ""Gas stove"", ""Extra pillows and blankets"", ""Dishwasher"", ""Coffee maker"", ""Heating"", ""Dining table"", ""Clothing storage: wardrobe"", ""Toaster"", ""Dedicated workspace"", ""Kitchen"", ""Bose Bluetooth speaker sound system with Bluetooth and aux"", ""Dishes and silverware""]",$106.00,150,1125,150.0,1125.0,0,0,0,160,2,255,27030.0,5.0,5.0,5.0,4.5,0.09
80,233083,https://www.airbnb.com/rooms/233083,2025-06-20,city scrape,2-bed-loft-dwelling designers flat,1219893,https://www.airbnb.com/users/show/1219893,Katharina,2011-09-28,"Murnau am Staffelsee, Germany",within a day,100%,67%,t,Charlottenburg,3.0,8.0,"['email', 'phone', 'work_email']",t,t,,Neue Kantstraße,Charlottenburg-Wilm.,52.50587,13.29551,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Iron"", ""Wifi"", ""Free street parking"", ""Oven"", ""Washer"", ""Hot water"", ""Cooking basics"", ""Patio or balcony"", ""Elevator"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Refrigerator"", ""Bed linens"", ""Single level home"", ""TV with standard cable"", ""Long term stays allowed"", ""Hangers"", ""Essentials"", ""Stove"", ""Hair dryer"", ""Coffee maker"", ""Heating"", ""Dishwasher"", ""Kitchen"", ""Dishes and silverware""]",$114.00,92,365,92.0,365.0,0,1,12,181,40,0,0.0,4.95,4.78,4.97,4.84,0.24
112,255842,https://www.airbnb.com/rooms/255842,2025-06-21,city scrape,2-room-Apartment Alvar Aalto,1345036,https://www.airbnb.com/users/show/1345036,H.Christian,2011-10-28,"Berlin, Germany",within a day,100%,,f,Hansaviertel,1.0,1.0,"['email', 'phone']",t,t,,Moabit Ost,Mitte,52.51625,13.34267,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Iron"", ""Private patio or balcony"", ""Cleaning products"", ""Wifi"", ""Oven"", ""Hot water"", ""Cooking basics"", ""Elevator"", ""Baking sheet"", ""Bathtub"", ""Smoke alarm"", ""Clothing storage: closet"", ""Refrigerator"", ""Bed linens"", ""Single level home"", ""TV with standard cable"", ""Long term stays allowed"", ""Hangers"", ""Hot water kettle"", ""Cleaning available during stay"", ""Drying rack for clothing"", ""Essentials"", ""Private entrance"", ""Stove"", ""Hair dryer"", ""Coffee maker"", ""Heating"", ""Dining table"", ""Room-darkening shades"", ""Toaster"", ""Kitchen"", ""Wine glasses"", ""Dishes and silverware""]",$63.00,93,365,93.0,365.0,0,17,29,291,35,186,11718.0,4.83,4.8,4.83,4.71,0.22
159,399312,https://www.airbnb.com/rooms/399312,2025-06-20,city scrape,Bright and cosy flat wit balcony :),1994169,https://www.airbnb.com/users/show/1994169,Anaís,2012-03-23,"Berlin, Germany",within a day,75%,39%,f,Neukölln,1.0,2.0,"['email', 'phone']",t,t,,Schillerpromenade,Neukölln,52.47837,13.42436,Entire rental unit,Entire home/apt,2,1.0,1 bath,2.0,2.0,"[""Iron"", ""Private patio or balcony"", ""Wifi"", ""Free street parking"", ""Handseife body soap"", ""Oven"", ""Children\u2019s books and toys"", ""Hot water"", ""EV charger"", ""Children\u2019s dinnerware"", ""Cooking basics"", ""HDTV with standard cable"", ""Free parking on premises"", ""Bathtub"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Refrigerator"", ""Bed linens"", ""Long term stays allowed"", ""Microwave"", ""Essentials"", ""Free washer"", ""Books and reading material"", ""Stove"", ""Luggage dropoff allowed"", ""Piano"", ""Hair dryer"", ""Host greets you"", ""Heating"", ""Dining table"", ""Children's playroom"", ""Dedicated workspace"", ""Kitchen"", ""Dishes and silverware""]",$117.00,6,42,6.0,42.0,0,5,10,163,48,63,7371.0,4.88,4.81,4.83,4.79,0.31
162,415218,https://www.airbnb.com/rooms/415218,2025-06-20,city scrape,Apartment in Prime Location – Perfect for Couples,2050560,https://www.airbnb.com/users/show/2050560,Murat,2012-04-01,"Berlin, Germany",within a day,100%,,f,Wedding,1.0,3.0,"['email', 'phone']",t,t,,Brunnenstr. Nord,Mitte,52.54167,13.37285,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,2.0,"[""Iron"", ""Wifi"", ""Oven"", ""Washer"", ""Hot water"", ""Freezer"", ""Cooking basics"", ""Baking sheet"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Bed linens"", ""TV with standard cable"", ""Long term stays allowed"", ""Hangers"", ""Clothing storage"", ""Hot water kettle"", ""Essentials"", ""Stove"", ""Pets allowed"", ""Host greets you"", ""Hair dryer"", ""Coffee maker"", ""Heating"", ""Room-darkening shades"", ""Kitchen"", ""Dishes and silverware""]",$49.00,95,365,95.0,365.0,27,57,65,178,11,0,0.0,4.55,4.5,4.27,4.45,0.08
177,496570,https://www.airbnb.com/rooms/496570,2025-06-21,previous scrape,100 qm in Berlin Mitte - center,2449119,https://www.airbnb.com/users/show/2449119,Natalija,2012-05-23,"Berlin, Germany",within a day,83%,47%,f,Mitte,1.0,1.0,"['email', 'phone']",t,t,,Brunnenstr. Süd,Mitte,52.53593,13.38122,Entire rental unit,Entire home/apt,5,,1 bath,3.0,,"[""Iron"", ""Board games"", ""Pets allowed"", ""Wifi"", ""Hair dryer"", ""Heating"", ""Laundromat nearby"", ""Washer"", ""Hot water"", ""TV"", ""Smoke alarm"", ""Children's playroom"", ""Dedicated workspace"", ""Essentials"", ""Kitchen"", ""Clamp on table seat high chair - always at the listing""]",,6,21,6.0,21.0,0,12,17,17,4,50,,4.25,4.25,4.75,4.25,0.39
